row_index,ResponseId,question,scenario,lab_like,premium_like,basic_like,cluster4,segment
1,R_1ISSVTIOnPJXekC,45,4,5.0,3.0,7.0,3,Basic-first
2,R_7liY4XbxkhD6dE2,51,10,4.0,5.0,5.0,1,Mixed
3,R_1YncfbKdOsKwWPu,47,6,5.0,4.0,5.0,1,Mixed
4,R_7rSmf4wO8btejI6,43,2,2.0,4.0,7.0,3,Basic-first
5,R_7dR7hKV4T4XnYPc,65,24,1.0,4.0,6.0,3,Basic-first
6,R_58BVICaWSqYvdNp,59,18,2.0,6.0,5.0,0,Premium-first
7,R_7Kx4QI193xtBYFq,68,27,1.0,7.0,5.0,0,Premium-first
8,R_5K7Gd3dYqmmxjHQ,59,18,1.0,6.0,6.0,0,Premium-first
9,R_6E3Cur95KnC0mYN,42,1,2.0,1.0,7.0,3,Basic-first
10,R_5dW7QwXXNmSSLmN,64,23,2.0,7.0,2.0,0,Premium-first
11,R_5wRktamZTfPDh2Y,56,15,1.0,7.0,7.0,0,Premium-first
12,R_5AuWMuwwBk5ghrP,50,9,1.0,7.0,6.0,0,Premium-first
13,R_6erf01s5x2s1mdX,47,6,1.0,6.0,7.0,0,Premium-first
14,R_6Pt0n8I0WD2Qjq8,49,8,4.0,7.0,3.0,1,Mixed
15,R_5kFGFutTkz0NwNc,64,23,4.0,6.0,6.0,1,Mixed
16,R_1lEaqdOXbsZXqSN,67,26,7.0,6.0,1.0,1,Mixed
17,R_3dWuYoHAgCUmZHg,60,19,6.0,4.0,7.0,3,Basic-first
18,R_1nlx6TATB16RkYR,50,9,6.0,5.0,3.0,1,Mixed
19,R_3HkvhU6az09rhff,55,14,5.0,4.0,5.0,1,Mixed
20,R_6XdsbZkvYUsMufM,59,18,1.0,6.0,4.0,0,Premium-first
21,R_7CwAPUaH3VPNbZv,46,5,1.0,3.0,6.0,3,Basic-first
22,R_7NDGtj6rECGMZFU,48,7,4.0,4.0,1.0,2,Low-interest all
23,R_5n8CMOBWPOMVXgd,49,8,2.0,7.0,6.0,0,Premium-first
24,R_3mdUOmOI5QxFQYh,43,2,3.0,5.0,3.0,1,Mixed
25,R_5pST6FxGLqPv6ML,68,27,7.0,4.0,3.0,1,Mixed
26,R_1GBUGqZkuJYDfMF,42,1,1.0,4.0,4.0,3,Basic-first
27,R_6iJWBtvFyXvvIAa,67,26,4.0,4.0,6.0,3,Basic-first
28,R_1K0HYbDeJFB9m5i,49,8,5.0,5.0,2.0,1,Mixed
29,R_12x2LqCgjm1MP74,65,24,4.0,4.0,6.0,3,Basic-first
30,R_1d0KOWd3aaLOBHS,71,30,3.0,7.0,4.0,0,Premium-first
31,R_1nl75W8A0erCHCM,43,2,1.0,5.0,4.0,0,Premium-first
32,R_1maLncNKg516tVf,43,2,3.0,7.0,3.0,0,Premium-first
33,R_18UPeBlDi0Uu6By,46,5,7.0,6.0,1.0,1,Mixed
34,R_3el4R7TREH8MsN7,70,29,7.0,7.0,7.0,1,Mixed
35,R_7q9u2vDeaWd6hpq,65,24,1.0,7.0,1.0,0,Premium-first
36,R_7XKiIWluKC8mfjH,49,8,3.0,7.0,4.0,0,Premium-first
37,R_1zwN53tw0B281n3,62,21,7.0,5.0,2.0,1,Mixed
38,R_17d8kjroJjoVwfe,56,15,5.0,4.0,4.0,1,Mixed
39,R_6MKclXG7GJSooTu,56,15,7.0,6.0,5.0,1,Mixed
40,R_7kgGfEBIipZundL,56,15,5.0,5.0,4.0,1,Mixed
41,R_1pyxno2lts21Tym,69,28,6.0,1.0,7.0,3,Basic-first
42,R_12mWQChT595hXlk,64,23,5.0,3.0,7.0,3,Basic-first
43,R_1ERMYM2Tz8TeGQm,50,9,5.0,7.0,6.0,1,Mixed
44,R_1yci8ywgNUoHR9D,62,21,1.0,1.0,7.0,3,Basic-first
45,R_1MSejFFMozwHA9B,58,17,1.0,7.0,7.0,0,Premium-first
46,R_1lR1jGaS3sg6Qch,63,22,1.0,5.0,6.0,3,Basic-first
47,R_1REfWS4IcJjm1Md,59,18,1.0,5.0,5.0,0,Premium-first
48,R_31TWcoT5JU5NY4T,67,26,2.0,6.0,5.0,0,Premium-first
49,R_1s69y7AcOo4CgQT,66,25,5.0,6.0,3.0,1,Mixed
50,R_39Y0FPcnz4r4wMx,45,4,4.0,6.0,7.0,3,Basic-first
51,R_3Nz7SD9U0pv2uO0,50,9,1.0,7.0,5.0,0,Premium-first
52,R_1MrR0YNBzkOj6mJ,45,4,4.0,4.0,5.0,3,Basic-first
53,R_1l2snbmgS02rZbH,57,16,5.0,7.0,6.0,1,Mixed
54,R_3mRxXivHCQHrRK4,61,20,4.0,5.0,3.0,1,Mixed
55,R_5qQntzsh7E13ZGS,43,2,2.0,6.0,3.0,0,Premium-first
56,R_3ffkHKrGe46N4dB,53,12,5.0,6.0,4.0,1,Mixed
57,R_5UiB6PP9SMZcfwB,64,23,1.0,6.0,5.0,0,Premium-first
58,R_7tFmybZxwLdVtOs,54,13,1.0,7.0,4.0,0,Premium-first
59,R_3dG7po6z8CGDQJA,57,16,5.0,6.0,6.0,1,Mixed
60,R_7mjBYa49OkzBSAj,58,17,3.0,6.0,5.0,0,Premium-first
61,R_5ZOLBWyxZV0q3tV,52,11,6.0,5.0,1.0,1,Mixed
62,R_7DuwgJaAF9iVPdI,57,16,3.0,6.0,6.0,0,Premium-first
63,R_7j8bUXX7h7wM7MU,70,29,1.0,1.0,1.0,2,Low-interest all
64,R_1Qsw5pRvxdnpcqx,56,15,5.0,5.0,3.0,1,Mixed
65,R_51iGmVVTJeeK3x4,60,19,1.0,1.0,2.0,2,Low-interest all
66,R_30Aymj1iHnui0I9,62,21,7.0,5.0,4.0,1,Mixed
67,R_7PzfZcEHhUXSHJj,54,13,3.0,6.0,2.0,1,Mixed
68,R_51jgyhY3EkWNqGA,60,19,1.0,4.0,7.0,3,Basic-first
69,R_7dal8M83JqUbxmv,42,1,6.0,6.0,2.0,1,Mixed
70,R_7MS9Nc5ljeG56Gx,43,2,3.0,4.0,4.0,3,Basic-first
71,R_333k8MwgZEQkzah,53,12,5.0,7.0,3.0,1,Mixed
72,R_5jnspae0MP9bdPH,42,1,2.0,2.0,7.0,3,Basic-first
73,R_5ClZUmMPlAm5RXW,69,28,4.0,2.0,5.0,3,Basic-first
74,R_7qb582avw646OLV,64,23,3.0,4.0,4.0,3,Basic-first
75,R_6ztMpTTcpKcXvrN,44,3,1.0,2.0,7.0,3,Basic-first
76,R_3gRxk0sL9I9Uv2H,63,22,2.0,4.0,7.0,3,Basic-first
77,R_7H0sIYE1EFWgU2K,44,3,1.0,7.0,1.0,0,Premium-first
78,R_5YQBT5RpmDCEE4p,59,18,1.0,5.0,5.0,0,Premium-first
79,R_64o1yvyAIZGY8t6,68,27,1.0,1.0,3.0,2,Low-interest all
80,R_5rMMUKiBxHD8pQr,47,6,2.0,6.0,5.0,0,Premium-first
81,R_746hUmgdr8e3XUd,64,23,1.0,2.0,2.0,2,Low-interest all
82,R_3C4fe26O1Yt8wjD,58,17,1.0,7.0,1.0,0,Premium-first
83,R_3qppR8rQcQpvTSa,48,7,1.0,7.0,2.0,0,Premium-first
84,R_6OjEAEvmGi3BFyb,68,27,1.0,7.0,5.0,0,Premium-first
85,R_7SEU0kbM7JT01cl,66,25,5.0,5.0,4.0,1,Mixed
86,R_3wVuCZiVn7elTJT,54,13,1.0,7.0,5.0,0,Premium-first
87,R_7udpXVra9oem24x,56,15,2.0,6.0,3.0,0,Premium-first
88,R_1l0FS01YSxQfvqP,54,13,2.0,4.0,4.0,3,Basic-first
89,R_32W7GCucL12WPoQ,60,19,2.0,5.0,5.0,0,Premium-first
90,R_1sQNCgST6vsvV1F,57,16,6.0,7.0,5.0,1,Mixed
91,R_7qvzMhFtYubMrrR,52,11,2.0,7.0,1.0,0,Premium-first
92,R_5d4RSkoQNb4UKGx,68,27,7.0,3.0,3.0,1,Mixed
93,R_6kFZDUNDRa0BXvz,55,14,4.0,6.0,5.0,1,Mixed
94,R_3hHgBnH7AHATjzz,67,26,1.0,7.0,4.0,0,Premium-first
95,R_3r0K2tOntM7ICit,46,5,5.0,7.0,7.0,1,Mixed
96,R_6Fktkk5SmgnUKtJ,47,6,5.0,6.0,2.0,1,Mixed
97,R_7c2CYL0qvzw0sGe,70,29,4.0,7.0,7.0,0,Premium-first
98,R_6fjSjcBuISaSuIS,62,21,3.0,2.0,4.0,2,Low-interest all
99,R_7qW1e7LR35KuVXa,70,29,1.0,6.0,5.0,0,Premium-first
100,R_5kJXsQuT9SNqXi9,61,20,1.0,7.0,7.0,0,Premium-first
101,R_7FG7694zukL9iBf,48,7,1.0,7.0,1.0,0,Premium-first
102,R_5odIIUGHkrX2XrL,61,20,5.0,6.0,3.0,1,Mixed
103,R_7rvceKGfVXNloOp,70,29,2.0,7.0,3.0,0,Premium-first
104,R_7tKZzxDQsuryVHe,69,28,1.0,6.0,5.0,0,Premium-first
105,R_5HIWB0PzKb8SiVb,68,27,2.0,7.0,6.0,0,Premium-first
106,R_3RU09TdyruhTY4t,54,13,2.0,6.0,5.0,0,Premium-first
107,R_1je1xG8P6Uq1rby,53,12,1.0,7.0,6.0,0,Premium-first
108,R_5G8GciebA802ONS,51,10,1.0,6.0,7.0,0,Premium-first
109,R_1fveaAyOeo5MB5O,57,16,5.0,7.0,6.0,1,Mixed
110,R_3vr9S95J9bl8dJ7,59,18,7.0,7.0,6.0,1,Mixed
111,R_5m97Zhn9AyL8iXf,56,15,3.0,3.0,7.0,3,Basic-first
112,R_3wTPEKZGafHoc7v,44,3,1.0,7.0,5.0,0,Premium-first
113,R_3CWD5jP0eqAFcKY,58,17,7.0,7.0,2.0,1,Mixed
114,R_5iQLRR9L2M6LYTq,66,25,7.0,5.0,4.0,1,Mixed
115,R_5M2U6XtWlO4nxLz,48,7,1.0,7.0,7.0,0,Premium-first
116,R_3Ns8G25QplPv1vE,52,11,7.0,4.0,1.0,1,Mixed
117,R_301M7HNjvPw9qMf,57,16,4.0,7.0,4.0,1,Mixed
118,R_3EPeaE6tkB4kQOB,46,5,3.0,6.0,6.0,0,Premium-first
119,R_7U3IU2VjEUcO93O,54,13,1.0,5.0,6.0,3,Basic-first
120,R_7jUSpk1Q3ve5nb1,67,26,6.0,7.0,2.0,1,Mixed
121,R_6PStiUagef09DVL,46,5,1.0,1.0,2.0,2,Low-interest all
122,R_37d53kts5GLxcyZ,45,4,1.0,6.0,4.0,0,Premium-first
123,R_5eCqIFFzfZ5iE3e,56,15,7.0,5.0,5.0,1,Mixed
124,R_7hbDRpEbttiN7GP,63,22,6.0,6.0,6.0,1,Mixed
125,R_5tF55jwvWcjniCt,64,23,1.0,7.0,7.0,0,Premium-first
126,R_7HZXAmkvKWYwTWT,62,21,5.0,7.0,3.0,1,Mixed
127,R_60DbcUbWzKzMri6,59,18,3.0,6.0,5.0,0,Premium-first
128,R_741tjXyrX7SHMBd,69,28,6.0,5.0,4.0,1,Mixed
129,R_7I5ZyqVrAVCupfI,54,13,5.0,6.0,2.0,1,Mixed
130,R_7MhW6Fvqo2RQzNM,56,15,1.0,2.0,2.0,2,Low-interest all
131,R_6rvxiAZqrWBk7Gp,47,6,5.0,6.0,2.0,1,Mixed
132,R_5dt5A9V6uZ7rMR4,44,3,1.0,7.0,5.0,0,Premium-first
133,R_5xKJT8QOTYT9q94,67,26,5.0,7.0,4.0,1,Mixed
134,R_5kG5AJHECrzv7ww,68,27,6.0,6.0,4.0,1,Mixed
135,R_3uNBpAGcgNnpdYp,55,14,4.0,4.0,4.0,1,Mixed
136,R_3d3KO89W4tOsVgX,64,23,7.0,6.0,2.0,1,Mixed
137,R_5r1z7wvZJjJIKPM,67,26,5.0,7.0,3.0,1,Mixed
138,R_7DgTl2hg7Zy6b1n,69,28,4.0,3.0,5.0,3,Basic-first
139,R_5B2SzXa3zl9TJtH,42,1,4.0,7.0,1.0,1,Mixed
140,R_71UbGMAD4hZ0gBH,68,27,7.0,1.0,1.0,2,Low-interest all
141,R_73TwzCyfrM8q2lS,66,25,1.0,2.0,7.0,3,Basic-first
142,R_6gMuZEkcuRX5JzW,47,6,1.0,2.0,1.0,2,Low-interest all
143,R_5rT5UqZlDovzyB0,47,6,5.0,7.0,3.0,1,Mixed
144,R_7EGJJGI9pKtvHeP,56,15,2.0,1.0,1.0,2,Low-interest all
145,R_7JaUzSnaRUiPcwg,50,9,7.0,7.0,4.0,1,Mixed
146,R_14L7qc0ZjxU2g37,64,23,7.0,7.0,1.0,1,Mixed
147,R_3PZOavImANIPFBC,55,14,4.0,7.0,4.0,1,Mixed
148,R_5RdzzDzjttvg7eY,44,3,1.0,5.0,7.0,3,Basic-first
149,R_3SwUYxTwo0eRJM5,55,14,1.0,4.0,7.0,3,Basic-first
150,R_5NBdKr01tbpktjP,71,30,2.0,4.0,6.0,3,Basic-first
151,R_6JwKHhj1rG8RGHw,44,3,7.0,6.0,6.0,1,Mixed
152,R_6q8Gu7SDepBJ2ZW,68,27,5.0,4.0,4.0,1,Mixed
153,R_1Lw13CdRA7SAUqU,43,2,4.0,7.0,1.0,1,Mixed
154,R_7ofeGycCsUqqpm9,67,26,4.0,7.0,4.0,1,Mixed
155,R_5emZNsvkTH8suGI,47,6,2.0,6.0,4.0,0,Premium-first
156,R_7lANzBrfXz4xEPG,56,15,3.0,6.0,4.0,0,Premium-first
157,R_7tzfJjc289wihbv,56,15,5.0,5.0,2.0,1,Mixed
158,R_7R1xdTOk2CTzgvM,43,2,1.0,7.0,4.0,0,Premium-first
159,R_6K2LHgwElmqU8fO,44,3,1.0,7.0,1.0,0,Premium-first
160,R_7PcoRqYtbtd5UuX,45,4,2.0,2.0,2.0,2,Low-interest all
161,R_5HtYwNCzCT2DmBX,43,2,1.0,5.0,7.0,3,Basic-first
162,R_740KLF26tW2op2B,43,2,4.0,6.0,4.0,1,Mixed
163,R_54ifycqoik04oOR,49,8,4.0,6.0,3.0,1,Mixed
164,R_7GTYgYCcGbHCP8R,54,13,4.0,7.0,3.0,1,Mixed
165,R_6fpXOrL1vTF8Sl1,64,23,7.0,6.0,5.0,1,Mixed
166,R_1FdCsOpNF3tHHt7,67,26,3.0,6.0,3.0,0,Premium-first
167,R_3m9xHrePXWdV2E0,48,7,4.0,4.0,4.0,1,Mixed
168,R_7IuziF276wOTfoH,66,25,2.0,2.0,2.0,2,Low-interest all
169,R_6I6vzQX0709RT96,70,29,6.0,4.0,4.0,1,Mixed
170,R_6YkD2xmXLcOVZv3,58,17,7.0,5.0,5.0,1,Mixed
171,R_5GxYewkX4exRerE,59,18,4.0,6.0,7.0,3,Basic-first
172,R_7mjyKVLLYbSRe0z,46,5,3.0,6.0,5.0,0,Premium-first
173,R_6wiPNteb64P4ZPs,42,1,4.0,7.0,5.0,1,Mixed
174,R_3zHM8xIAA8xHrDh,46,5,5.0,7.0,2.0,1,Mixed
175,R_1Ec7DNh856klfkw,51,10,3.0,7.0,5.0,0,Premium-first
176,R_7AEHp7MXcVHxhcF,62,21,6.0,6.0,5.0,1,Mixed
177,R_1fqLlIzUsaUNmGV,67,26,1.0,7.0,4.0,0,Premium-first
178,R_1KN3ZeF6AUX57wq,70,29,4.0,6.0,3.0,1,Mixed
179,R_39puUVL1W0f8NOf,50,9,1.0,7.0,7.0,0,Premium-first
180,R_7fUx9c8OZqpgm5y,56,15,2.0,2.0,7.0,3,Basic-first
181,R_7dSLLReRPyTFVD8,42,1,2.0,5.0,4.0,0,Premium-first
182,R_6do6jEaR7XlR322,71,30,6.0,4.0,4.0,1,Mixed
183,R_3L0etFeaCRHHHrz,66,25,5.0,6.0,3.0,1,Mixed
184,R_5kGnvoIeBvO8e2L,61,20,5.0,5.0,2.0,1,Mixed
185,R_3dRFredAQHHhYEd,69,28,7.0,7.0,7.0,1,Mixed
186,R_1M6Hm5DfmiGJxwF,48,7,3.0,4.0,6.0,3,Basic-first
187,R_7Vgo8Unn7GwxKV8,52,11,5.0,6.0,4.0,1,Mixed
188,R_5ihsWx4DF8qlJ8O,60,19,3.0,6.0,5.0,0,Premium-first
189,R_6PGLf5hBsguGvi9,67,26,4.0,5.0,5.0,1,Mixed
190,R_6xfOaVJHA2varSN,42,1,1.0,7.0,7.0,0,Premium-first
191,R_7Ebgf9kbbq71pLC,43,2,1.0,4.0,7.0,3,Basic-first
192,R_3AXQlHerXEQV3Yp,69,28,5.0,6.0,6.0,1,Mixed
193,R_71Gp1aK4ZviVL4B,55,14,1.0,1.0,7.0,3,Basic-first
195,R_638qanRbajRz0SC,53,12,2.0,7.0,5.0,0,Premium-first
196,R_6mc8dB8A9z4D3Ud,66,25,2.0,6.0,3.0,0,Premium-first
197,R_507unbwKO7HeUx2,65,24,3.0,6.0,1.0,1,Mixed
198,R_7sDzNkszKRrtAk1,53,12,1.0,6.0,5.0,0,Premium-first
199,R_7OMFjxsJIvEIvqn,43,2,1.0,5.0,6.0,3,Basic-first
200,R_7oySKpp1vblAGR3,63,22,5.0,5.0,7.0,3,Basic-first
201,R_7oGy5VLjrfnZe0b,67,26,5.0,7.0,5.0,1,Mixed
202,R_12Kk28slI7178zW,43,2,1.0,2.0,2.0,2,Low-interest all
203,R_5IE2Ztf84Ytb0PY,61,20,1.0,1.0,1.0,2,Low-interest all
204,R_1h9PLTTWFkiyONr,66,25,1.0,4.0,3.0,2,Low-interest all
205,R_3wv3AvzEs9qTPcH,57,16,1.0,7.0,5.0,0,Premium-first
206,R_7jHuzBB4FZa9rxA,61,20,1.0,2.0,5.0,3,Basic-first
207,R_7JEJLnMw6jzSYx3,46,5,1.0,5.0,5.0,0,Premium-first
208,R_1DJ9jMSDbXOjOMO,61,20,6.0,4.0,6.0,1,Mixed
209,R_3QSxrDrjUBKqkS0,50,9,1.0,5.0,3.0,0,Premium-first
210,R_3axJTIkXeMPwpsR,48,7,2.0,6.0,4.0,0,Premium-first
211,R_7vdgu6ZtoetS92h,45,4,1.0,5.0,3.0,0,Premium-first
212,R_3eyKEQVDl05A7e5,61,20,6.0,5.0,6.0,1,Mixed
213,R_5nGeYeqlt8MMHpx,62,21,5.0,7.0,3.0,1,Mixed
214,R_6i2yZkO2XusjVqV,53,12,4.0,1.0,1.0,2,Low-interest all
215,R_5IXx60RYMteLxAv,46,5,2.0,5.0,7.0,3,Basic-first
216,R_3uPUoDyoqNGZIxz,56,15,2.0,5.0,7.0,3,Basic-first
217,R_5NQIrRGz8ihvDvr,71,30,4.0,6.0,6.0,1,Mixed
218,R_60xgxOuSkBWnPLr,52,11,1.0,6.0,4.0,0,Premium-first
219,R_1WPfyjIRvjXmj5L,46,5,6.0,5.0,2.0,1,Mixed
220,R_3kHYufVE8R8nq2D,42,1,2.0,4.0,5.0,3,Basic-first
221,R_6PyR23KsxzXWsE1,43,2,1.0,3.0,5.0,3,Basic-first
222,R_3GwFCso5nZr9k8J,53,12,1.0,5.0,7.0,3,Basic-first
223,R_3U0mHoe02OjdLPl,65,24,1.0,7.0,3.0,0,Premium-first
224,R_5IRNtocoJQfzUWd,53,12,7.0,6.0,4.0,1,Mixed
225,R_50qJQyn77JmMnd0,49,8,1.0,5.0,1.0,2,Low-interest all
226,R_7Xjj66hcMivP52E,51,10,1.0,7.0,4.0,0,Premium-first
227,R_6rl7MQYfGVx3ECZ,51,10,5.0,6.0,2.0,1,Mixed
228,R_5cvZFcAAonYkiXn,70,29,2.0,6.0,6.0,0,Premium-first
229,R_1OVFroW0lWOvmYY,56,15,5.0,3.0,2.0,2,Low-interest all
230,R_52JXTK4k9OMfjlV,48,7,1.0,6.0,6.0,0,Premium-first
231,R_7mUG8F6NLsN21jP,55,14,6.0,4.0,4.0,1,Mixed
232,R_5f28M11zp4Uuxw7,44,3,2.0,7.0,6.0,0,Premium-first
233,R_3khN3LK57fwvyJQ,44,3,3.0,4.0,7.0,3,Basic-first
234,R_3zViSgwiqRhN78P,60,19,1.0,7.0,4.0,0,Premium-first
235,R_51NACBbD1hW6Yr7,44,3,7.0,6.0,4.0,1,Mixed
236,R_1RYv3WwLcJ1prsR,43,2,1.0,7.0,3.0,0,Premium-first
237,R_5DqHS8njn31zvnI,51,10,1.0,6.0,5.0,0,Premium-first
239,R_32t58kwQ6BFTmga,44,3,1.0,4.0,7.0,3,Basic-first
240,R_5dM0WnuQ54ds2l2,65,24,1.0,4.0,4.0,3,Basic-first
241,R_7LjnSN6qgSw8Vpg,70,29,1.0,2.0,1.0,2,Low-interest all
242,R_35wLpM4XYTOOrkt,67,26,1.0,7.0,6.0,0,Premium-first
243,R_7DIvrkJyLyfSdL7,46,5,1.0,7.0,6.0,0,Premium-first
244,R_7f21BQlvUi5CL4n,70,29,3.0,7.0,4.0,0,Premium-first
245,R_1wMG5X25LJkODhO,65,24,1.0,7.0,5.0,0,Premium-first
246,R_7sYfEMSPDJfF1ye,57,16,7.0,7.0,4.0,1,Mixed
247,R_7gEQplDCDk0nEqt,58,17,5.0,6.0,5.0,1,Mixed
248,R_3yM1riltySGaBPj,64,23,4.0,7.0,4.0,1,Mixed
249,R_32ymNm0A071AupO,63,22,3.0,3.0,6.0,3,Basic-first
250,R_5Sfvh8iYHOi47Ox,69,28,5.0,6.0,5.0,1,Mixed
251,R_1LC9B0EEZsDVMyJ,56,15,5.0,6.0,2.0,1,Mixed
252,R_1zqkE5NxNMFESHI,61,20,4.0,5.0,6.0,3,Basic-first
253,R_5eJJt3GCsJThWT4,49,8,1.0,7.0,4.0,0,Premium-first
254,R_1XfOySN9NoiLD2h,46,5,6.0,7.0,5.0,1,Mixed
255,R_3nbZPalqptc57ko,63,22,6.0,6.0,5.0,1,Mixed
256,R_5Dc1DI7Awv7VpEC,51,10,5.0,6.0,1.0,1,Mixed
257,R_5NqremBpmjUPepb,58,17,2.0,6.0,5.0,0,Premium-first
258,R_67XBjZPs4egPWcp,59,18,6.0,5.0,1.0,1,Mixed
259,R_5K6ZWPZfDUENMLr,58,17,2.0,6.0,5.0,0,Premium-first
260,R_1OMZSISQjZySHhj,67,26,1.0,7.0,1.0,0,Premium-first
261,R_1PoXpXkR5RKNegn,71,30,1.0,1.0,1.0,2,Low-interest all
262,R_32OTQ3SwGADqjRv,48,7,4.0,6.0,4.0,1,Mixed
263,R_7HXLQabcA4PuqCO,66,25,4.0,4.0,4.0,1,Mixed
264,R_5opAALbJ54xdvg8,71,30,6.0,7.0,4.0,1,Mixed
265,R_6giiZWmHCYhsRFk,63,22,6.0,6.0,6.0,1,Mixed
266,R_17qCoyfMyFzUme5,58,17,5.0,7.0,3.0,1,Mixed
267,R_1pY2kL48jK9uz1Z,54,13,4.0,7.0,3.0,1,Mixed
268,R_1gpAmzTIfPdBhsn,47,6,4.0,6.0,5.0,1,Mixed
269,R_5wQl6UXk7EYaetz,54,13,1.0,7.0,3.0,0,Premium-first
271,R_5ixueBpPZyJVzqN,55,14,3.0,4.0,5.0,3,Basic-first
272,R_1f2M6hYmdxOZfkB,50,9,1.0,7.0,4.0,0,Premium-first
273,R_3KYcSq5HlGr0Qr7,69,28,6.0,4.0,5.0,1,Mixed
