term,coef,std_err,t,p,ci_low,ci_high
Intercept,3.582643386918174,0.4558932303886884,7.858514117140237,3.887169188280529e-15,,
C(Product)[T.Lab],-0.12436670653901295,0.0775619334730768,-1.603450313447678,0.10883527049423738,,
C(Product)[T.Premium],0.09969848075674757,0.09048767201464097,1.1017907581998163,0.27055264913286226,,
C(PriceLvl)[T.Mid],-0.7549864344644709,0.23165721628696806,-3.2590671966342835,0.0011177918889334205,,
C(PriceLvl)[T.High],-1.2132592393739494,0.19344443618963994,-6.271874566526956,3.5672691757947964e-10,,
C(NutriLvl)[T.Mid],1.7507376753540909,0.23963093610255556,7.305975195977294,2.7526295248212786e-13,,
C(NutriLvl)[T.High],1.8319057115640685,0.2779253418660135,6.591359029243263,4.358185243882803e-11,,
C(TasteLvl)[T.Mid],-0.4836937850346015,0.3029512908788495,-1.5966057897671448,0.11035360752841471,,
C(TasteLvl)[T.High],0.3219320993424425,0.34123721587675027,0.9434261105292792,0.345462992955722,,
C(Category)[T.Supportive but Inactive],-0.16057140703963524,0.1610738955117199,-0.9968803854250355,0.3188225735148459,,
C(Category)[T.Unsupportive and Inactive],-0.9210183529679005,0.20717753410162798,-4.445551285093045,8.766676311097806e-06,,
C(Age)[T.2],-0.3544351253182567,0.35362975661692886,-1.0022774347640668,0.3162096178137771,,
C(Age)[T.3],-0.36349690732087114,0.353045670342036,-1.0296030736440127,0.30319637182364856,,
C(Age)[T.4],-0.5454129196014672,0.3808861151246408,-1.4319579998945007,0.15215584164081195,,
C(Age)[T.5],0.09108250290082509,0.39929169302307477,0.22811018734507332,0.8195605805077171,,
C(Age)[T.6],-0.27446480213442803,0.5681609807179007,-0.4830757680466329,0.6290419389630559,,
C(Age)[T.7],0.02694285646388561,0.5829927707943102,0.04621473509384477,0.9631390981169013,,
C(Age)[T.What is your age?],1.1770947942584e-15,8.595767019218417e-16,1.3693888999395298,0.17087774213020523,,
C(Gender)[T.2],0.07341660855005727,0.1466508150712687,0.5006218923118743,0.6166372521137937,,
C(Gender)[T.3],0.22157624164327577,0.582899315223446,0.3801278125680037,0.7038505411950164,,
C(Gender)[T.4],-0.6063864400027539,1.0199015496157409,-0.5945538961395016,0.5521417056454525,,
C(Gender)[T.What is your gender?],-7.5350501901391105e-16,5.851897489446399e-16,-1.2876251171057238,0.19787649170304422,,
C(Education)[T.3],-0.026986081150660868,0.17037336885028434,-0.15839377558105866,0.8741465182334385,,
C(Education)[T.4],0.07536150363549693,0.2430921942385954,0.3100120259786272,0.756551811184977,,
C(Education)[T.5],0.5855462876194701,0.379066310970251,1.5447067456897365,0.12241721247754417,,
C(Education)[T.What is the highest level of education you have completed?],5.206707370994698e-16,4.3974899300256596e-16,1.1840180316147573,0.2364059250756284,,
C(Marital)[T.2],-0.19422511049661811,0.19420388760226126,-1.0001092815113997,0.31725762489965714,,
C(Marital)[T.3],-0.20923416985744228,0.28003048919620244,-0.7471835315433922,0.45495278350551693,,
C(Marital)[T.4],-0.5746185493398617,0.7654986523568853,-0.7506460626294703,0.45286569175344904,,
C(Marital)[T.5],-0.5334902719748683,0.47350989245520614,-1.1266718615078064,0.2598812436171779,,
C(Marital)[T.What is your current marital status?],3.6857494016586697e-16,3.1395656323092864e-16,1.1739679412109125,0.24040786685281135,,
C(HouseholdSize)[T.2],0.018730823946699227,0.21372032862571572,0.08764175156918347,0.9301614168817407,,
C(HouseholdSize)[T.3],-0.0866088006015785,0.2451153223882937,-0.3533389906338829,0.7238343179485867,,
C(HouseholdSize)[T.4],0.32895148927473367,0.26667047524082954,1.2335504670236113,0.2173704601723716,,
C(HouseholdSize)[T.5],-0.00309791516139879,0.31082173525066675,-0.009966854984901331,0.9920477319486676,,
"C(HouseholdSize)[T.Including yourself, how many people currently live in your household?]",-3.8598435529698564e-17,2.9269985365204776e-16,-0.1318703615601501,0.8950868319106225,,
C(Income)[T.2],-0.8872514502557793,0.495181747314922,-1.7917692949443709,0.07316992923308165,,
C(Income)[T.3],-0.40994540845521754,0.4892710843945434,-0.8378696831481698,0.40210389725009865,,
C(Income)[T.4],-0.28262950449678503,0.5008887807401191,-0.5642560092465405,0.5725799150800991,,
C(Income)[T.5],0.11313144026736943,0.4879128217242157,0.23186814371382727,0.8166404279152276,,
C(Income)[T.6],-0.04635594305097546,0.5252037390347529,-0.0882627818609419,0.9296678192421544,,
C(Income)[T.7],-0.26751669778558895,0.5578078858996716,-0.47958572215973483,0.6315220008110285,,
C(Income)[T.What is your total household income per year?],1.7788683511637912e-16,2.412395200941788e-16,0.7373867890589938,0.46088716703913535,,
C(Employment)[T.2],0.020217770798525436,0.20702376936935316,0.09765917633571201,0.9222029331073017,,
C(Employment)[T.3],0.03839769994166681,0.26184318263629086,0.1466438788097169,0.8834131177676141,,
C(Employment)[T.4],-0.10309388324496616,0.34906003460926416,-0.29534714095920167,0.7677287084568905,,
C(Employment)[T.5],0.07123111489761441,0.46378810770033485,0.1535854708539414,0.8779365935851096,,
C(Employment)[T.6],0.9206217497709845,1.2453040589919475,0.7392746720156138,0.45974022590130215,,
C(Employment)[T.7],0.6619435694931425,0.5054576853577821,1.3095924518876267,0.19033374328325725,,
C(Employment)[T.What is your current job or work status?],-1.9336273295489774e-36,1.0454221996683343e-36,-1.8496138021197854,0.06436923208251358,,
C(Urban_Rural)[T.2],0.03806954691231018,0.16381493154209223,0.23239363197199284,0.8162322945045654,,
C(Urban_Rural)[T.3],0.42456287951983473,0.23645201261810472,1.7955562095618496,0.07256512560767642,,
C(Urban_Rural)[T.Do you live in an urban or rural area?],0.0,0.0,,,,
C(Product)[T.Lab]:C(PriceLvl)[T.Mid],0.04382480617118517,0.23224703571452732,0.18869909808043195,0.8503286585167507,,
C(Product)[T.Premium]:C(PriceLvl)[T.Mid],0.22362988724913008,0.21761737307741086,1.0276288335195576,0.3041244557095498,,
C(Product)[T.Lab]:C(PriceLvl)[T.High],-0.16819151271019941,0.162251970771921,-1.0366069016605517,0.2999190955067177,,
C(Product)[T.Premium]:C(PriceLvl)[T.High],-0.12393140649238861,0.1445037098410398,-0.8576347737280822,0.3910941672493289,,
PriceUSD,0.40113847370581535,0.12646983438925088,3.1718114888265365,0.0015149130888049431,,
C(Product)[T.Lab]:PriceUSD,-0.41692492578822193,0.08482249705260286,-4.915263524129276,8.866311448079103e-07,,
C(Product)[T.Premium]:PriceUSD,0.0754655550210867,0.13060412345336128,0.577819084311189,0.5633862692623679,,
